Applied Economics,0003-6846,k.R.,STEU
Applied Financial Economics,0960-3107,C,BA-FI
Applied Financial Economics Letters,1744-6546,k.R.,BA-FI
Applied Health Economics and Health Policy,1175-5652 ,B,Gesundheitswesen
Applied Mathematical Finance,1350-486X,k.R.,BA-FI
Applied Psychology,0269-994X,B,ORG / PERS
Arbeit,0941-5025,k.R.,ORG / PERS
Arbeits und Organisationspsychologie A&O,0932-4089,C,ORG / PERS
Artificial Intelligence,0004-3702,B,'OR, WI'
Asia Pacific Business Review,1360-2381,C,ABWL
Asia Pacific Journal of Management,0217-4561,C,ABWL
Asian Business & Management,1472-4782,k.R.,INT
Asian Journal of Marketing,1819-1924,k.R.,MARK
Asia-Pacific Journal of Accounting & Economics,1608-1625,C,RECH
Asia-Pacific Journal of Operational Research,0217-5959,C,'LOG, OR, PROD'
ASTIN Bulletin,0515-0361,k.R.,'BA-FI, Versicherungswirtschaft'
Auditing: A Journal of Practice & Theory,0278-0380,B,RECH
Australasian Marketing Journal,1441-3582,D,MARK
Australian Accounting Review,1835-2561,C,RECH
Australian Journal of Information Systems (AJIS),1326-2238,C,WI
Australian Journal of Management,0312-8962,C,ABWL
Australian Journal of Public Administration,1467-8500,k.R.,ÖBWL
'Australian Tax Forum: a Journal of Taxation Policy, Law and Reform',0812-695X,k.R.,STEU
Baltic Journal of Management,1746-5265,C,ABWL
Bank Accounting & Finance (eingestellt 2010),0894-3958,k.R.,'BA-FI, RECH'
BankArchiv: Zeitschrift für das gesamte Bank- und Börsenwesen,1015-1516,D,BA-FI
Bankhistorisches Archiv,0341-6208,k.R.,BA-FI
BB-Betriebs-Berater,0340-7918,k.w.Z.,'STEU, RECH'
Behavioral Research in Accounting,1050-4753,B,'STEU, RECH'
Benchmarking: An International Journal,1463-5771,C,ABWL
Betriebswirtschaftliche Blätter: Fachzeitschrift für Unternehmensführung in der Sparkassen-Finanzgruppe,0723-9629,k.w.Z.,ABWL
BFuP - Betriebswirtschaftliche Forschung und Praxis,0340-5370,C,ABWL
BIT Banking and Information Technology,0006-3835,D,'BA-FI, WI'
BKR - Zeitschrift für Bank- und Kapitalmarktrecht,1617-7223,k.R.,BA-FI
BMC Health Services Research,1472-6963,C,Gesundheitswesen
British Journal of Healthcare Management,1358-0574,C,Gesundheitswesen
British Journal of Industrial Relations (BJIR),0007-1080,k.R.,INT
British Journal of Management (BJM),1045-3172,B,ABWL
British Tax Review,0007-1870,C,STEU
Bulletin for International Taxation,0007-4624,k.R.,STEU
Business & Information Systems Engineering (BISE) (früher: Wirtschaftsinformatik WI),0937-6429,B,WI
Business & Society,0007-6503,B,'NAMA, WEW'
Business + Innovation,1868-8241,C,ABWL
Business and Society Review,0045-3609,C,NAMA
Business Ethics Quarterly (BEQ),1052-150X,B,'RECH, NAMA, WEW'
Business Ethics: A European Review,0962-8770,C,'RECH, NAMA, WEW'
Business Horizons,0007-6813,C,ABWL
Business Process Management Journal,1463-7154,C,'ORG / PERS, TIE, WI'
Business Process Management Workshops (früher: Proceedings of the International Conference on Business Process Management (BPM),verschiedene ISBN,C,WI
Business Research (früher: BuR - Business Research),1866-8658,B,ABWL
Business Strategy and the Environment,0964-4733,B,'NAMA, SM'
Business Strategy Review,0955-6419,C,'ABWL, SM'
California Management Review,0008-1256,B,ABWL
'Canadian Journal of Economics - Revue Canadienne d''Économique',0008-4085,k.R.,STEU
Canadian Tax Journal - Revue Fiscale Canadienne,0008-5111,k.R.,STEU
Central European Journal of Operations Research,1435-246X,C,OR
Communications of the ACM (CACM),0001-0782,B,WI
Communications of the Association for Information Systems (CAIS),1529-3181,C,WI
Computational Management Science,1619-697X,k.R.,OR
Computer Networks,1389-1286,k.R.,WI
Computer Supported Cooperative Work (CSCW),0925-9724,C,WI
Computers and Industrial Engineering,0360-8352,B,PROD
Computers and Operations Research,0305-0548,B,'OR, WI'
Computers in Industry,0166-3615,C,'OR, PROD, ORG / PERS, WI'
'Consumption, Markets and Culture',1025-3866,k.R.,MARK
Contemporary Accounting Research - Recherche Comptable Contemporaine,0823-9150,A,'STEU, RECH'
Controller Magazin,1616-0495,k.w.Z.,RECH
Controlling & Management Review (früher: Zeitschrift für Controlling und Management ZfCM),2195-8262,D,'PROD, RECH'
'Controlling, Zeitschrift für erfolgsorientierte Unternehmenssteuerung',0935-0381,D,RECH
Corporate Finance (früher: Finanz Betrieb FB),1437-8981,D,'STEU, RECH'
Corporate Governance An International Review,0964-8410,C,ABWL
Corporate Governance: The International Journal of Business in Society,1472-0701,C,NAMA
Corporate Ownership and Control,1727-9232,C,ABWL
Corporate Reputation Review,1363-3589,D,'MARK, ORG / PERS'
Corporate Social Responsibility and Environmental Management,1535-3958,C,NAMA
Cost Management,1092-8057,D,RECH
Creativity and Innovation Management,0963-1690,C,'TIE, Entrepreneurship'
Credit and Capital Markets - Kredit und Kapital,2199-1227,C,BA-FI
Critical Finance Review,2164-5744,k.R.,BA-FI
Critical Perspectives on Accounting,1045-2354,B,RECH
Critical Perspectives on International Business,1742-2043,k.R.,INT
Cross Cultural Management: An International Journal,1352-7606,C,'INT, ORG / PERS'
Cross-Cultural Research,1069-3971,k.R.,INT
Culture and Organization,1475-9551,k.R.,ORG / PERS
Customer Needs and Solutions,2196-291X,k.R.,MARK
Das Gesundheitswesen,0941-3790,C,Gesundheitswesen
Das Hochschulwesen,0018-2974,k.R.,'HSM, ÖBWL'
Das Krankenhaus,0340-3602,k.w.Z., 
Data & Knowledge Engineering,0169-023X,B,'ORG / PERS, WI'
Database and Expert Systems Applications. Proceedings of the International Conference DEXA (früher: Proceedings of the International Conference on Database and Expert Systems Applications),verschiedene ISBN,k.R.,WI
Datenschutz und Datensicherheit,0724-4371,k.R.,WI
DBW Die Betriebswirtschaft- Business Administration Review (BAReV),0342-7064,C,ABWL
Decision Analysis,1545-8490,k.R.,OR
Decision Sciences,0011-7315,B,'OR, PROD, WI'
Decision Support Systems (DSS),0167-9236,B,'MARK, OR, ORG / PERS, WI'
Der Betrieb,0005-9935,D,'STEU, RECH'
Der Betriebswirt - Management in Wissenschaft und Praxis,0172-6196,D,ABWL
'Der Konzern: Zeitschrift für Gesellschaftsrecht, Steuerrecht, Bilanzrecht und Rechnungslegung der verbundenen Unternehmen',1611-2296,D,RECH
der markt - International Journal of Marketing (eingestellt 2013),0025-3863,D,MARK
'der moderne staat: Zeitschrift für Public Policy, Recht und Management (DMS)',1865-7192,C,ÖBWL
Der Steuerberater - Zeitschrift für Beruf und Praxis,0049-223X,k.w.Z.,STEU
Deutsche SteuerZeitung,0724-5637,D,STEU
Deutsches Steuerrecht (DStR),0949-7676,D,'STEU, RECH'
Die Aktiengesellschaft,0002-3752,D,STEU
Die Bank,0342-3182,k.w.Z.,BA-FI
Die öffentliche Verwaltung (DÖV),0029-859X,k.R.,ÖBWL
Die Steuerberatung (Stbg),0490-9658,k.w.Z.,STEU
Die steuerliche Betriebsprüfung,0340-9503,k.w.Z.,'STEU, RECH'
Die Unternehmensbesteuerung (Ubg),1865-7222,D,'STEU, RECH'
Die Unternehmung - Swiss Journal of Business Research and Practice,0042-059X,C,ABWL
Die Verwaltung: Zeitschrift für Verwaltungsrecht und Verwaltungswissenschaften,0042-4498,k.R.,ÖBWL
Die Wirtschaftsprüfung (WPg),0340-9031,C,'BA-FI, STEU, RECH'
Discrete Applied Mathematics,0166-218X,A,'LOG, OR, PROD'
EC Tax Review,0928-2750,k.R.,STEU
Ecological Economics,0921-8009,B,NAMA
E-Commerce and Web Technologies. Proceedings of the International Conference EC-Web (früher: Proceedings of the International Conference on Electronic Commerce and Web Technologies),verschiedene ISBN,k.R.,WI
Econometrica,0012-9682,A+,ABWL
Economic Journal,0013-0133,k.R.,STEU
Economics Letters,0165-1765,B,STEU
Economics of Education Review,0272-7757,k.R.,HSM
Economics of Innovation and New Technology,1043-8599,B,TIE
eJournal of Tax Research,1448-2398,k.R.,STEU
Electronic Commerce Research,1389-5753,C,'MARK, WI'
Electronic Commerce Research and Applications (ECRA),1567-4223,C,'MARK, WI'
Electronic Markets (em),1019-6781,B,WI
Employee Relations,0142-5455,B,ORG / PERS
Energy Economics,0140-9883,B,NAMA
Energy Policy,0301-4215,B,'ÖBWL, TIE, NAMA'
Enterprise Modelling and Information Systems Architectures (Online),1866-3621 ,C,WI
Entrepreneurship & Regional Development,0898-5626,B,Entrepreneurship
Entrepreneurship: Theory and Practice (ET&P),1042-2587,A,'TIE, Entrepreneurship'
e-Service Journal,1528-8226,D,'WI, DL-Handel'
EURO Journal on Computational Optimization,2192-4406,k.R.,OR
EURO Journal on Decision Processes,2193-9438,k.R.,OR
EURO Journal on Transportation and Logistics,2192-4376,B,OR
Europäische Zeitschrift für Wirtschaftsrecht (EuZW),0937-7204,k.R.,STEU
Europäisches Wirtschafts und Steuerrecht (EWS) - Betriebs-Berater Europa,0938-3050,k.R.,STEU
European Accounting Review,0963-8180,A,'STEU, RECH'
European Business Journal,0955-808X,C,ABWL
European Economic Review,0014-2921,k.R.,STEU
European Financial Management,1354-7798,B,'BA-FI, INT'
European Journal of Finance,1351-847X,B,'BA-FI, RECH'
European Journal of Health Economics,1618-7598,B,Gesundheitswesen
European Journal of Industrial Relations,0959-6801,k.R.,ORG / PERS
European Journal of Information Systems (EJIS),0960-085X,A,WI
European Journal of Innovation Management,1460-1060,C,TIE
European Journal of International Management,1751-6757,B,INT
European Journal of Law and Economics,0929-1261,C,STEU
European Journal of Management (EJM): A Publication of the Academy of International Business and Economics,1555-4015,C,ABWL
European Journal of Marketing,0309-0566,C,MARK
European Journal of Operational Research (EJOR),0377-2217,A,'OR, PROD'
European Journal of Political Economy,0176-2680,k.R.,STEU
European Journal of Work & Organizational Psychology,1359-432X,B,ORG / PERS
European Management Journal,0263-2373,B,ABWL
European Management Review (EMR),1740-4754,B,ORG / PERS
European Sport Management Quarterly,1618-4742,k.R.,'DL-Handel, Medien Kultur Freizeit'
European Taxation,0014-3138,C,'STEU, RECH'
Evolutionary Computation,1063-6560,k.R.,'OR, WI'
Experimental Economics,1386-4157 ,A,ABWL
f&w führen und wirtschaften im Krankenhaus,0175-4548,k.w.Z.,Gesundheitswesen
Family Business Review,0894-4865,B,'Entrepreneurship, KMU'
Finance and Stochastics,0949-2984,B,BA-FI
Finance Research Letters,1544-6123,B,BA-FI
Financial Accountability and Management, 0267-4424,C,'ÖBWL, RECH'
Financial Analysts Journal (FAJ),0015-198X,B,BA-FI
Financial Management,0046-3892,B,BA-FI
Financial Markets and Portfolio Management,1555-4961,C,BA-FI
'Financial Markets, Institutions and Instruments',0963-8008,k.R.,BA-FI
Financial Review,0732-8516,B/C,BA-FI
FinanzArchiv - Public Finance Analysis (FA),0015-2218,B,'BA-FI, STEU'
Finanz-Rundschau,0940-452X,C,STEU
Fiscal Studies,0143-5671,C,STEU
Flexible Services and Manufacturing Journal (FSM),1936-6582,B,'OR, PROD'
Forum Wirtschaftsethik,0947-756X,k.w.Z.,WEW
Frontiers of Entrepreneurship Research (Proceedings of Babson College Entrepreneurship Research Conference),verschiedene ISBN,C,Entrepreneurship
Fuzzy Sets and Systems,0165-0114,k.R.,OR
'GAIA - Ökologische Perspektiven in Natur-, Geistes- und Wirtschaftswissenschaften',0940-5550,D,NAMA
'Gender, Work & Organization',0968-6673,B,ORG / PERS
Geneva Papers on Risk and Insurance: Issues and Practice,1018-5895,B,'BA-FI, Versicherungswirtschaft'
Geneva Risk and Insurance Review,1554-964X,k.R.,Versicherungswirtschaft
German Economic Review,1465-6485,B,STEU
Gesundheitsökonomie und Qualitätsmanagement,1432-2625,D,Gesundheitswesen
GFK Marketing Intelligence Review,1865-5866,D,MARK
Global Finance Journal,1044-0283,k.R.,BA-FI
Global Strategy Journal (GSJ),2042-5805,B,'INT, SM'
GmbHRundschau,0016-3570,k.w.Z.,STEU
Governance,0952-1895,A,ÖBWL
greener management international (eingestellt 2012),0966-9671,D,NAMA
Group & Organization Management,1059-6011,B,ORG / PERS
Group Decision and Negotiation,0926-2644,B,'MARK, OR, ORG / PERS, WI'
Gruppendynamik & Organisationsberatung,0046-6514,k.R.,ORG / PERS
Harvard Business Manager,0174-335X,k.w.Z.,ABWL
Harvard Business Review,0017-8012,C,ABWL
Health Care Management Review,0361-6274,B,Gesundheitswesen
Health Care Management Science,1386-9620,A,Gesundheitswesen
Health Economics,1057-9230,A,Gesundheitswesen
'Health Economics, Policy and Law',1744-1331,k.R.,Gesundheitswesen
Health Policy,0168-8510,B,Gesundheitswesen
Health Services Management Research,0951-4848,C,Gesundheitswesen
Health Services Research (HSR),0017-9124,A,Gesundheitswesen
Higher Education,0018-1560,k.R.,HSM
Higher Education Quarterly,1468-2273,k.R.,HSM
HMD - Praxis der Wirtschaftsinformatik,1436-3011,D,WI
'Hochschulmanagement. Zeitschrift für die Leitung, Entwicklung und Selbstverwaltung von Hochschulen und Wissenschaftseinrichtungen',1860-3025,k.R.,'HSM, ÖBWL'
Human Performance,0895-9285,k.R.,ORG / PERS
Human Relations,0018-7267,B,ORG / PERS
Human Resource Development International,1367-8868,k.R.,ORG / PERS
Human Resource Development Review (HRD Review),1534-4843,k.R.,ORG / PERS
Human Resource Management,0090-4848,B,ORG / PERS
Human Resource Management Journal,0954-5395,B,ORG / PERS
Human Resource Management Review,1053-4822,B,ORG / PERS
Human-Computer Interaction,0737-0024,C,WI
IBM Journal of Research and Development (früher: IBM Systems Journal),0018-8670,C,WI
IEEE Computer,0018-9162,C,WI
IEEE Internet Computing,1089-7801,k.R.,WI
IEEE Pervasive Computing,1536-1268,k.R.,WI
IEEE Software,0740-7459,C,WI
'IEEE Transactions on Components, Packaging, and Manufacturing Technology (früher: IEEE Transactions on Product Engineering and Production)',2156-3950,k.R.,'PROD, WI'
IEEE Transactions on Engineering Management,0018-9391,B,'TIE, WI'
IEEE Transactions on Software Engineering,0098-5589,B,WI
'IEEE Transactions on Systems, Man, and Cybernetics: Systems (früher: ...Part A: Systems and Humans)',1083-4427,C,'OR, WI'
IIE Transactions,0740-817X,A,'OR, PROD'
'IM+io - Das Magazin für Innovation, Organisation und Management (früher: Information Management & Consulting)',1616-1017,k.w.Z.,'WI, DL-Handel'
Industrial and Corporate Change (ICC),0960-6491,B,'ORG / PERS, TIE'
Industrial and Labor Relations Review (ILR Review),0019-7939,A/B,'INT, ORG / PERS'
Industrial Management & Data Systems,0263-5577,k.R.,'PROD, TIE, WI'
Industrial Marketing Management,0019-8501,B,MARK
Industrielle Beziehungen,0943-2779,C,ORG / PERS
Industry & Innovation,1366-2716,B,'ORG / PERS, TIE, Entrepreneurship'
INFOR: Information Systems and Operational Research (früher: Journal for Canadian Operational Research Society),0315-5986,k.R.,OR
Informatik-Spektrum,0170-6012,D,WI
Information & Management,0378-7206,B,WI
Information and Organization,1471-7727,B,'RECH, WI'
Information Resources Management Journal,1040-1628,k.R.,'ORG / PERS, WI'
Information Systems (IS),0306-4379,B,WI
Information Systems and e-Business Management,1617-9846,C,WI
Information Systems Frontiers,1387-3326,B,WI
Information Systems Journal (ISJ),1350-1917,A,WI
Information Systems Management,1058-0530,C,WI
Information Systems Research (ISR),1047-7047,A+,'OR, WI'
Information Technology and Management,1385-951X,C,WI
INFORMS Journal on Computing (JOC),1091-9856,A,'OR, WI'
Innovative Verwaltung,1618-9876,k.R.,'ÖBWL, ORG / PERS'
Insurance: Mathematics & Economics,0167-6687,k.R.,Versicherungswirtschaft
'Intelligent Systems in Accounting, Finance & Management',1055-615X ,k.R.,'RECH, WI'
Interfaces,0092-2102,B,'OR, PROD'
Internal Auditor,0020-5745,k.R.,RECH
International Business & Economics Research Journal,1535-0754,C,ABWL
International Business Review,0969-5931,B,INT
International Economic Review,0020-6598,k.R.,INT
International Entrepreneurship and Management Journal,1554-7191,B/C,Entrepreneurship
International Journal of Accounting,0020-7063,B,RECH
International Journal of Accounting Information Systems,1467-0895,C,RECH
'International Journal of Accounting, Auditing and Performance Evaluation',1740-8008,C,'STEU, RECH'
International Journal of Advertising,0265-0487,C,MARK
International Journal of Arts Management,1480-8986,k.R.,Medien Kultur Freizeit
International Journal of Auditing,1090-6738,B,RECH
International Journal of Automotive Technology and Management,1470-9511,C,'PROD, TIE'
International Journal of Bank Marketing,0265-2323,k.R.,'BA-FI, MARK'
International Journal of Business Communication (IJBC),0021-9436,k.R.,'MARK, ORG / PERS'
International Journal of Business Environment,1740-0589,C,ABWL
International Journal of Business Intelligence and Data Mining,1743-8187,k.R.,WI
International Journal of Business Intelligence Research,1947-3591,k.R.,WI
International Journal of Business Performance Management IJBPM,1368-4892,D,ABWL
International Journal of Business Research (IJBR): A Publication of the Academy of International Business and Economics,1554-5466,C,ABWL
International Journal of Business Science and Applied Management,1753-0296,C,ABWL
International Journal of Business Strategy (IJBS):  A Publication of the Academy of International Business and Economics,1553-9563,C,'ABWL, SM'
International Journal of Consumer Studies,1470-6423,D,MARK
International Journal of Cross Cultural Management (CCM),1470-5958,k.R.,INT
International Journal of Economics and Accounting,2041-868X,C,RECH
International Journal of Economics and Business Research (IJEBR),1756-9850,C,ABWL
International Journal of Electronic Business,1470-6067,C,'MARK, WI'
International Journal of Electronic Commerce (IJEC),1086-4415,B,WI
International Journal of Energy Sector Management,1750-6220,B,'PROD, TIE, NAMA'
International Journal of Entrepreneurial Behaviour & Research,1355-2554,C,'TIE, Entrepreneurship'
International Journal of Entrepreneurial Venturing,1742-5360,B,'TIE, Entrepreneurship, KMU'
International Journal of Entrepreneurship and Innovation,1465-7503,C,'TIE, Entrepreneurship'
International Journal of Entrepreneurship and Innovation Management,1368-275X,C,'TIE, Entrepreneurship'
International Journal of Entrepreneurship and Small Business,1476-1297,C,Entrepreneurship
International Journal of Finance,1041-2743,C,BA-FI
International Journal of Forecasting,0169-2070,C,OR
International Journal of Game Theory,0020-7276,k.R.,OR
International Journal of Globalisation and Small Business,1479-3059,C,Entrepreneurship
International Journal of Government Auditing,0047-0724,k.R.,RECH
International Journal of Health Care Finance and Economics,1389-6563,k.R.,Gesundheitswesen
International Journal of Health Planning and Management,0749-6753,k.R.,Gesundheitswesen
International Journal of Healthcare Management (früher: Journal of Management & Marketing in Healthcare),1753-3031,D,Gesundheitswesen
International Journal of Human Resource Management,0958-5192,B,ORG / PERS
International Journal of Human Resources: Development and Management,1465-6612,k.R.,ORG / PERS
International Journal of Industrial Organization,0167-7187,B,ABWL
International Journal of Information Management,0268-4012,C,WI
International Journal of Information System Modeling and Design (IJISMD),1947-8186,k.R.,WI
International Journal of Information Technologies and Systems Approach,1935-570X,k.R.,WI
International Journal of Information Technology & Decision Making,0219-6220,C,'OR, TIE, WI'
International Journal of Innovation and Sustainable Development,1740-8822,C,'TIE, NAMA, WEW'
International Journal of Innovation and Technology Management,0219-8770,C,'TIE, Entrepreneurship'
International Journal of Innovation Management,1363-9196,B,'TIE, Entrepreneurship'
International Journal of Integrated Supply Management,1477-5360,C,'LOG, PROD'
International Journal of Internet Marketing and Advertising,1477-5212,k.R.,MARK
International Journal of Knowledge Management (IJKM),1548-0666,C,'ORG / PERS, WI'
International Journal of Knowledge Management Studies (eingestellt 2012),1743-8268,C,ABWL
International Journal of Learning and Change,1740-2875,k.R.,ORG / PERS
International Journal of Logistics Management,0957-4093,C,'LOG, PROD'
International Journal of Logistics: Research and Applications,1367-5567,C,LOG
International Journal of Management and Enterprise Development,1468-4330,k.R.,Entrepreneurship
International Journal of Management Practice,1477-9064,C,ABWL
International Journal of Management Reviews IJMR,1460-8545,B,ABWL
International Journal of Managerial and Financial Accounting,1753-6715,C,RECH
International Journal of Manpower,0143-7720,k.R.,ORG / PERS
International Journal of Market Research (früher: Journal of the Market Research Society),0025-3618,D,MARK
International Journal of Microsimulation,1747-5864,k.R.,STEU
International Journal of Mobile Communications,1470-949X,C,'TIE, WI'
International Journal of Networking and Virtual Organisations,1470-9503,k.R.,'ORG / PERS, TIE'
International Journal of Nonprofit and Voluntary Sector Marketing,1465-4520,C,'MARK, ÖBWL'
International Journal of Operations & Production Management,0144-3577,B,'LOG, OR, PROD'
International Journal of Operations and Quantitative Management,1082-1910,k.R.,'OR, PROD'
International Journal of Operational Research,1745-7645,C,OR
International Journal of Physical Distribution & Logistics Management,0960-0035,B,'LOG, PROD'
International Journal of Product Development,1477-9056,C,TIE
International Journal of Product Lifecycle Management,1743-5110,C,ABWL
International Journal of Production Economics,0925-5273,B,'LOG, OR, PROD'
International Journal of Production Research,0020-7543,B,'OR, PROD'
International Journal of Productivity and Performance Management,1741-0401,C,ABWL
International Journal of Project Management,0263-7863,C,ABWL
International Journal of Project Organization and Management Science (IJPOM),1740-2891,k.R.,ABWL
International Journal of Public Administration,0190-0692,C,ÖBWL
International Journal of Public Sector Management,0951-3558,C,ÖBWL
International Journal of Public Sector Performance Management,1741-1041,C,ÖBWL
International Journal of Research in Marketing,0167-8116,A,MARK
International Journal of Retail & Distribution Management,0959-0552,C,'MARK, DL-Handel'
International Journal of Revenue Management,1474-7332,C,ABWL
'International Journal of Service Science, Management, Engineering, and Technology (IJSSMET)',1947-959X,D,'WI, DL-Handel'
International Journal of Services and Operations Management,1744-2370,k.R.,PROD
International Journal of Services Technology and Management,1460-6720,k.R.,DL-Handel
International Journal of Sports Marketing & Sponsorship,1464-6668,D,'MARK, Medien Kultur Freizeit'
International Journal of Strategic Management (IJSM): A Publication of the Academy of International Business and Economics,1555-2411,C,'ABWL, SM'
International Journal of Sustainable Strategic Management,1753-3600,C,'NAMA, SM'
International Journal of Technology Assessment in Health Care,0266-4623,B,Gesundheitswesen
International Journal of Technology Intelligence and Planning,1740-2832,k.R.,TIE
International Journal of Technology Management,0267-5730,C,TIE
International Journal of Technology Marketing,1741-878X,k.R.,TIE
International Journal of the Economics of Business,1357-1516,C,ABWL
International Journal of Theoretical and Applied Finance,0219-0249,B,BA-FI
International Journal on Media Management,1424-1277,C,'WI, Medien Kultur Freizeit'
International Marketing Review,0265-1335,B,'INT, MARK'
International Public Management Journal,1096-7494,B,ÖBWL
International Public Management Review (IPMR),1662-1387,C,ÖBWL
International Review of Administrative Sciences,0020-8523,C,ÖBWL
International Review of Law and Economics,0144-8188,B,ABWL
'International Review of Retail, Distribution and Consumer Research',0959-3969,C,'MARK, DL-Handel'
International Review on Public and Nonprofit Marketing,1865-1984,C,ÖBWL
International Small Business Journal,0266-2426,C,'TIE, Entrepreneurship, KMU'
International Studies of Management & Organization,0020-8825,C,ABWL
International Tax and Public Finance,0927-5940,B,'BA-FI, STEU, ÖBWL'
International Transactions in Operational Research,0969-6016,k.R.,OR
Internationale Wirtschafts-Briefe (IWB),0020-9368,k.R.,STEU
Internationales Steuerrecht (iStR),0942-6744,C,'STEU, INT'
Internationales Verkehrswesen,0020-9511,k.R.,LOG
Intertax,0165-2826,C,STEU
IO management (früher: IO new management) (eingestellt 2013),1660-5683,D,ABWL
IRZ - Zeitschrift für Internationale Rechnungslegung,1862-5533,D,RECH
Issues in Accounting Education,0739-3172,C,RECH
Jahrbuch der Absatz- und Verbrauchsforschung (eingestellt 2009),0021-3985,k.R.,MARK
Jahrbuch der KMU-Forschung und -Praxis,verschiedene ISBN,k.R.,KMU
Jahrbuch für Wirtschaftswissenschaften - Review of Economics,0948-5139,C,ABWL
Jahrbuch Vertriebs- und Handelsmanagement (früher: Jahrbuch Handelsmanagement) (eingestellt 2010),verschiedene ISBN,k.R.,DL-Handel
Jahrbücher für Nationalökonomie und Statistik: Journal of Economics and Statistics,0021-4027,k.R.,STEU
JORS. Journal of the Operational Research Society (früher: Operational Research Quarterly),0160-5682,B,OR
Journal for East European Management Studies,0949-6181,C,ABWL
Journal for General Philosophy of Science (Zeitschrift für allgemeine Wissenschaftstheorie),0925-4560 ,k.R.,'RECH, WEW'
Journal for Labour Market Research - Zeitschrift für ArbeitsmarktForschung (früher: Zeitschrift für Arbeitsmarkt Forschung),1614-3485,k.R.,ORG / PERS
Journal of Academy of Business and Economics,1542-8710,C,ABWL
Journal of Accountancy,0021-8448,D,RECH
Journal of Accounting & Organizational Change,1832-5912,B,'ORG / PERS, RECH'
Journal of Accounting and Economics,0165-4101,A+,'STEU, RECH'
Journal of Accounting and Public Policy,0278-4254,B,'STEU, ÖBWL, RECH'
Journal of Accounting Education,0748-5751,C,RECH
Journal of Accounting Literature,0737-4607,B,RECH
Journal of Accounting Research,0021-8456,A+,'STEU, RECH'
'Journal of Accounting, Auditing & Finance',0148-558X,B,'BA-FI, STEU, RECH'
Journal of Advertising,0091-3367,B,MARK
Journal of Advertising Research JAR,0021-8499,C,MARK
Journal of Applied Accounting Research,0967-5426,C,RECH
Journal of Applied Behavioral Science,0021-8863,B,ORG / PERS
Journal of Applied Business Research,0892-7626,C,ABWL
Journal of Applied Corporate Finance,1078-1196,C,BA-FI
Journal of Applied Psychology,0021-9010,A,'MARK, ORG / PERS'
'Journal of Arts Management, Law, and Society',1063-2921,k.R.,Medien Kultur Freizeit
Journal of Asset Management,1470-8272,B,BA-FI
Journal of Banking & Finance,0378-4266,A,'BA-FI, STEU'
